uid,suspects,refuses,confirmado,deads,local,cases,comments,broadcast,date,time,uf_x,uf_y
43,1,8,0,0,,0,,,11/02/2020,16:00,RS,RS
23,0,1,0,0,,0,,,12/02/2020,16:00,CE,CE
31,1,1,0,0,,0,,,12/02/2020,16:00,MG,MG
33,2,3,0,0,,0,,,12/02/2020,16:00,RJ,RJ
35,6,14,0,0,,0,,,12/02/2020,16:00,SP,SP
41,1,2,0,0,,0,,,12/02/2020,16:00,PR,PR
42,0,4,0,0,,0,,,12/02/2020,16:00,SC,SC
43,1,8,0,0,,0,,,12/02/2020,16:00,RS,RS
23,0,1,0,0,,0,,,13/02/2020,16:00,CE,CE
31,0,2,0,0,,0,,,13/02/2020,16:00,MG,MG
33,0,5,0,0,,0,,,13/02/2020,16:00,RJ,RJ
35,3,17,0,0,,0,,,13/02/2020,16:00,SP,SP
41,1,2,0,0,,0,,,13/02/2020,16:00,PR,PR
42,0,4,0,0,,0,,,13/02/2020,16:00,SC,SC
43,2,8,0,0,,0,,,13/02/2020,16:00,RS,RS
53,0,1,0,0,,0,,,13/02/2020,16:00,DF,DF
23,0,1,0,0,,0,,,14/02/2020,16:00,CE,CE
31,0,2,0,0,,0,,,14/02/2020,16:00,MG,MG
33,0,5,0,0,,0,,,14/02/2020,16:00,RJ,RJ
35,1,20,0,0,,0,,,14/02/2020,16:00,SP,SP
41,1,2,0,0,,0,,,14/02/2020,16:00,PR,PR
42,0,4,0,0,,0,,,14/02/2020,16:00,SC,SC
43,2,8,0,0,,0,,,14/02/2020,16:00,RS,RS
53,0,1,0,0,,0,,,14/02/2020,16:00,DF,DF
23,0,1,0,0,,0,,,15/02/2020,14:00,CE,CE
31,0,2,0,0,,0,,,15/02/2020,14:00,MG,MG
33,0,5,0,0,,0,,,15/02/2020,14:00,RJ,RJ
35,2,20,0,0,,0,,,15/02/2020,14:00,SP,SP
41,0,3,0,0,,0,,,15/02/2020,14:00,PR,PR
42,0,4,0,0,,0,,,15/02/2020,14:00,SC,SC
43,1,9,0,0,,0,,,15/02/2020,14:00,RS,RS
53,0,1,0,0,,0,,,15/02/2020,14:00,DF,DF
23,0,1,0,0,,0,,,16/02/2020,12:00,CE,CE
31,0,2,0,0,,0,,,16/02/2020,12:00,MG,MG
33,0,5,0,0,,0,,,16/02/2020,12:00,RJ,RJ
35,2,20,0,0,,0,,,16/02/2020,12:00,SP,SP
41,0,3,0,0,,0,,,16/02/2020,12:00,PR,PR
42,0,4,0,0,,0,,,16/02/2020,12:00,SC,SC
43,1,9,0,0,,0,,,16/02/2020,12:00,RS,RS
53,0,1,0,0,,0,,,16/02/2020,12:00,DF,DF
23,0,1,0,0,,0,,,17/02/2020,15:50,CE,CE
31,0,2,0,0,,0,,,17/02/2020,15:50,MG,MG
33,0,5,0,0,,0,,,17/02/2020,15:50,RJ,RJ
35,2,20,0,0,,0,,,17/02/2020,15:50,SP,SP
41,0,3,0,0,,0,,,17/02/2020,15:50,PR,PR
42,0,4,0,0,,0,,,17/02/2020,15:50,SC,SC
43,1,9,0,0,,0,,,17/02/2020,15:50,RS,RS
53,0,1,0,0,,0,,,17/02/2020,15:50,DF,DF
23,0,1,0,0,,0,,,18/02/2020,15:50,CE,CE
31,0,2,0,0,,0,,,18/02/2020,15:50,MG,MG
33,0,5,0,0,,0,,,18/02/2020,15:50,RJ,RJ
35,4,20,0,0,,0,,,18/02/2020,15:50,SP,SP
41,0,3,0,0,,0,,,18/02/2020,15:50,PR,PR
42,0,4,0,0,,0,,,18/02/2020,15:50,SC,SC
43,1,9,0,0,,0,,,18/02/2020,15:50,RS,RS
53,0,1,0,0,False,0,,,18/02/2020,15:50,DF,DF
23,0,1,0,0,,0,,,19/02/2020,15:50,CE,CE
31,0,2,0,0,,0,,,19/02/2020,15:50,MG,MG
33,0,5,0,0,,0,,,19/02/2020,15:50,RJ,RJ
35,1,23,0,0,,0,,,19/02/2020,15:50,SP,SP
41,0,3,0,0,,0,,,19/02/2020,15:50,PR,PR
42,0,4,0,0,,0,,,19/02/2020,15:50,SC,SC
43,1,9,0,0,,0,,,19/02/2020,15:50,RS,RS
53,0,1,0,0,,0,,,19/02/2020,15:50,DF,DF
23,0,1,0,0,,0,,,20/02/2020,15:50,CE,CE
31,0,2,0,0,,0,,,20/02/2020,15:50,MG,MG
33,0,5,0,0,,0,,,20/02/2020,15:50,RJ,RJ
35,1,24,0,0,,0,,,20/02/2020,15:50,SP,SP
41,0,3,0,0,,0,,,20/02/2020,15:50,PR,PR
42,0,4,0,0,,0,,,20/02/2020,15:50,SC,SC
43,0,10,0,0,,0,,,20/02/2020,15:50,RS,RS
53,0,1,0,0,,0,,,20/02/2020,15:50,DF,DF
23,0,1,0,0,,0,,,21/02/2020,14:30,CE,CE
31,0,2,0,0,,0,,,21/02/2020,14:30,MG,MG
33,1,5,0,0,,0,,,21/02/2020,14:30,RJ,RJ
35,0,25,0,0,,0,,,21/02/2020,14:30,SP,SP
41,0,3,0,0,,0,,,21/02/2020,14:30,PR,PR
42,0,4,0,0,,0,,,21/02/2020,14:30,SC,SC
43,0,10,0,0,,0,,,21/02/2020,14:30,RS,RS
53,0,1,0,0,,0,,,21/02/2020,14:30,DF,DF
23,0,1,0,0,,0,,,22/02/2020,13:40,CE,CE
31,0,2,0,0,,0,,,22/02/2020,13:40,MG,MG
33,1,6,0,0,,0,,,22/02/2020,13:40,RJ,RJ
35,0,25,0,0,,0,,,22/02/2020,13:40,SP,SP
41,0,3,0,0,,0,,,22/02/2020,13:40,PR,PR
42,0,4,0,0,,0,,,22/02/2020,13:40,SC,SC
43,0,10,0,0,,0,,,22/02/2020,13:40,RS,RS
53,0,1,0,0,,0,,,22/02/2020,13:40,DF,DF
23,0,1,0,0,,0,,,23/02/2020,12:30,CE,CE
31,0,2,0,0,,0,,,23/02/2020,12:30,MG,MG
33,1,7,0,0,,0,,,23/02/2020,12:30,RJ,RJ
35,1,25,0,0,,0,,,23/02/2020,12:30,SP,SP
41,0,3,0,0,,0,,,23/02/2020,12:30,PR,PR
42,0,4,0,0,,0,,,23/02/2020,12:30,SC,SC
43,0,10,0,0,,0,,,23/02/2020,12:30,RS,RS
53,0,1,0,0,,0,,,23/02/2020,12:30,DF,DF
23,0,1,0,0,,0,,,24/02/2020,12:25,CE,CE
31,0,2,0,0,,0,,,24/02/2020,12:25,MG,MG
33,1,7,0,0,,0,,,24/02/2020,12:25,RJ,RJ
35,3,26,0,0,,0,,,24/02/2020,12:25,SP,SP
41,0,3,0,0,,0,,,24/02/2020,12:25,PR,PR
42,0,4,0,0,,0,,,24/02/2020,12:25,SC,SC
43,0,10,0,0,,0,,,24/02/2020,12:25,RS,RS
53,0,1,0,0,,0,,,24/02/2020,12:25,DF,DF
23,0,1,0,0,,0,,,25/02/2020,13:50,CE,CE
31,0,2,0,0,,0,,,25/02/2020,13:50,MG,MG
33,0,8,0,0,,0,,,25/02/2020,13:50,RJ,RJ
35,4,26,0,0,,0,,,25/02/2020,13:50,SP,SP
41,0,3,0,0,,0,,,25/02/2020,13:50,PR,PR
42,0,4,0,0,,0,,,25/02/2020,13:50,SC,SC
43,0,10,0,0,,0,,,25/02/2020,13:50,RS,RS
53,0,1,0,0,,0,,,25/02/2020,13:50,DF,DF
23,0,1,0,0,,0,,,25/02/2020,13:50,CE,CE
31,0,2,0,0,,0,,,25/02/2020,13:50,MG,MG
33,0,8,0,0,,0,,,25/02/2020,13:50,RJ,RJ
35,4,26,0,0,,0,,,25/02/2020,13:50,SP,SP
41,0,3,0,0,,0,,,25/02/2020,13:50,PR,PR
42,0,4,0,0,,0,,,25/02/2020,13:50,SC,SC
43,0,10,0,0,,0,,,25/02/2020,13:50,RS,RS
53,0,1,0,0,,0,,,25/02/2020,13:50,DF,DF
23,0,1,0,0,,0,,,26/02/2020,11:30,CE,CE
29,0,2,0,0,,0,,,26/02/2020,11:30,BA,BA
25,1,0,0,0,,0,,,26/02/2020,11:30,PB,PB
26,1,0,0,0,,0,,,26/02/2020,11:30,PE,PE
